Image,Correct Emotion,Participant Choice,Accuracy
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\116_m_m_a_a.jpg,Unknown,Incorrect,0
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\079_o_f_d_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\066_y_m_d_a.jpg,Unknown,Incorrect,0
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\079_o_f_f_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\004_o_m_n_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\004_o_m_d_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\168_m_f_s_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\066_y_m_s_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\004_o_m_a_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\066_y_m_d_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\116_m_m_d_b.jpg,Unknown,Incorrect,0
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\079_o_f_a_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\066_y_m_a_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\079_o_f_n_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\116_m_m_s_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\168_m_f_n_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\140_y_f_h_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\116_m_m_d_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\168_m_f_a_b.jpg,Unknown,Incorrect,0
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\140_y_f_h_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\079_o_f_s_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\066_y_m_h_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\116_m_m_n_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\116_m_m_h_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\116_m_m_n_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\079_o_f_h_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\140_y_f_f_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\066_y_m_f_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\079_o_f_f_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\168_m_f_a_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\004_o_m_d_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\079_o_f_h_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\079_o_f_a_b.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\140_y_f_d_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\168_m_f_s_a.jpg,Unknown,Unknown,1
C:\Users\jdiaz\Desktop\DTU_ExperimentCognitiveScience\images\004_o_m_s_a.jpg,Unknown,Unknown,1
